Brand,Capacity,Star Ratting,AC Type,Annual Consumption
LLoyd,1.5,2,Split AC,1081.47
LLoyd,1,2,Split AC,808
LLoyd,2,2,Split AC,1408.87
LLoyd,1.5,3,Split AC,956.79
LLoyd,1.2,3,Split AC,918.14
LLoyd,1,3,Split AC,700.06
LLoyd,2,3,Split AC,1261.37
LLoyd,1.5,4,Split AC,972.33
LLoyd,1,4,Split AC,636.9
LLoyd,1.5,5,Split AC,759
LLoyd,1.2,5,Split AC,636
LLoyd,1,5,Split AC,533
LLoyd,2,5,Split AC,970
LLoyd,1.5,5,windows,1114.71
LG,2,3,Split AC,1220.4
LG,1.5,5,Split AC,744.5
LG,1.5,4,Split AC,838.7
LG,1.5,3,Split AC,852.4
LG,1.5,2,Split AC,962.7
LG,1.2,3,Split AC,849.1
LG,1,5,Split AC,521.2
LG,1,4,Split AC,572
LG,1,3,Split AC,642.3
LG,0.8,3,Split AC,625.33
Samsung,2,4,Split AC,1145.22
Samsung,2,3,Split AC,1145.22
Samsung,1.5,5,Split AC,749.48
Samsung,1.5,4,Split AC,940.09
Samsung,1.5,3,Split AC,977.8
Samsung,1,5,Split AC,481.43
Samsung,1,4,Split AC,634.66
Samsung,1,3,Split AC,628.48
Samsung,1.5,2,windows,1950
Panasonic,2,5,Split AC,1013.01
Panasonic,2,4,Split AC,1215.49
Panasonic,2,3,Split AC,1331.46
Panasonic,2,2,Split AC,1710
Panasonic,1.5,5,Split AC,774.19
Panasonic,1.5,4,Split AC,876.76
Panasonic,1.5,3,Split AC,1002.31
Panasonic,1.5,2,Split AC,1500
Panasonic,1.2,5,Split AC,1110
Panasonic,1.2,4,Split AC,1122.45
Panasonic,1.2,3,Split AC,1023.96
Panasonic,1.2,2,Split AC,1211.26
Panasonic,1,5,Split AC,524.08
Panasonic,1,4,Split AC,601.5
Panasonic,1,3,Split AC,685.08
Panasonic,1,2,Split AC,1125
Panasonic,0.8,3,Split AC,519.64
Panasonic,1.5,5,windows,1086.32
Panasonic,1.5,4,windows,1168.9
Haier,2,5,Split AC,911
Haier,2,3,Split AC,1277
Haier,2,2,Split AC,1354
Haier,1.5,5,Split AC,880.3
Haier,1.5,4,Split AC,886.36
Haier,1.5,3,Split AC,925.24
Haier,1.5,2,Split AC,1123.23
Haier,1.2,3,Split AC,823.55
Haier,1,5,Split AC,536.38
Haier,1,3,Split AC,694.49
Haier,1,2,Split AC,752.43
Haier,0.9,3,Split AC,732.84
Carrier,2,5,Split AC,920.55
Carrier,2,4,Split AC,1197
Carrier,2,3,Split AC,1249.82
Carrier,2,2,Split AC,1368.62
Carrier,1.5,5,Split AC,754.05
Carrier,1.5,4,Split AC,974.21
Carrier,1.5,3,Split AC,964.1
Carrier,1.5,2,Split AC,1154.97
Carrier,1.2,5,Split AC,636.71
Carrier,1.2,3,Split AC,774.1
Carrier,1,5,Split AC,594.17
Carrier,1,4,Split AC,660
Carrier,1,3,Split AC,703.46
Carrier,1,2,Split AC,780.3
Carrier,0.8,3,Split AC,526.3
Carrier,1.5,5,windows,1178.19
Carrier,1.5,3,windows,870.87
Voltas,2,5,Split AC,944.59
Voltas,2,3,Split AC,1220.59
Voltas,1.5,5,Split AC,751.28
Voltas,1.5,4,Split AC,987.43
Voltas,1.5,3,Split AC,975.26
Voltas,1.5,2,Split AC,1182.83
Voltas,1.2,5,Split AC,688.95
Voltas,1.2,3,Split AC,783.99
Voltas,1,5,Split AC,542.55
Voltas,1,4,Split AC,678
Voltas,1,3,Split AC,672.93
Voltas,1,2,Split AC,740.59
Voltas,0.8,3,Split AC,546.36
Whirlpool,2,3,Split AC,1209.98
Whirlpool,1.5,5,Split AC,761.33
Whirlpool,1.5,4,Split AC,854.16
Whirlpool,1.5,3,Split AC,981.14
Whirlpool,1.2,5,Split AC,740
Whirlpool,1,5,Split AC,560.34
Whirlpool,1,4,Split AC,642.5
Whirlpool,1,3,Split AC,711.19
Whirlpool,0.8,3,Split AC,555.79
Daikin,2.2,5,Split AC,1235.96
Daikin,2,4,Split AC,1372.85
Daikin,2,3,Split AC,1376.59
Daikin,1.5,5,Split AC,785.67
Daikin,1.5,4,Split AC,928
Daikin,1.5,3,Split AC,966.47
Daikin,1,5,Split AC,523.54
Daikin,1,4,Split AC,650
Daikin,1,3,Split AC,731.9
Daikin,0.8,3,Split AC,548.84
Daikin,1.5,5,windows,1133.29
Daikin,1.5,3,windows,1264.89
Blue Star,2,5,Split AC,935.89
Blue Star,2,3,Split AC,1261.37
Blue Star,1.5,5,Split AC,770.98
Blue Star,1.5,4,Split AC,850.74
Blue Star,1.5,3,Split AC,1002.84
Blue Star,1.5,2,Split AC,1127.1
Blue Star,1.2,3,Split AC,865.48
Blue Star,1,5,Split AC,517.12
Blue Star,1,4,Split AC,583.06
Blue Star,1,3,Split AC,704.42
Blue Star,1,2,Split AC,727.66
Blue Star,0.8,3,Split AC,521.6
Blue Star,1.5,5,windows,1045.04
Blue Star,1.5,3,windows,1168.9
Godrej,2,5,Split AC,925.05
Godrej,2,3,Split AC,1201.27
Godrej,1.5,5,Split AC,765.86
Godrej,1.5,4,Split AC,883.14
Godrej,1.5,3,Split AC,965.71
Godrej,1.5,2,Split AC,1168.9
Godrej,1.2,4,Split AC,898.63
Godrej,1,5,Split AC,524.3
Godrej,1,3,Split AC,694.03
Godrej,1.5,5,windows,1111.14
Godrej,1.5,3,windows,1216.12
Hitachi,2,5,Split AC,922.69
Hitachi,2,4,Split AC,1096.51
Hitachi,2,3,Split AC,1397.61
Hitachi,1.5,5,Split AC,813.13
Hitachi,1.5,4,Split AC,952
Hitachi,1.5,3,Split AC,1024.34
Hitachi,1.5,2,Split AC,1045
Hitachi,1.2,3,Split AC,860.6
Hitachi,1,5,Split AC,533.61
Hitachi,1,4,Split AC,663.79
Hitachi,1,3,Split AC,669.16
Croma,2,3,Split AC,1198.46
Croma,1.5,5,Split AC,758.6
Croma,1.5,3,Split AC,963.58
Croma,1.5,2,Split AC,1114.71
Croma,1.2,3,Split AC,783.28
Croma,1,3,Split AC,685.59
Croma,1,2,Split AC,746.24
Croma,1.5,5,windows,1082.57
Croma,1.5,3,windows,1180.51
Mraq,2,3,Split AC,1281.64
Mraq,1.5,5,Split AC,767.34
Mraq,1.5,4,Split AC,832.59
Mraq,1.5,3,Split AC,952.69
Mraq,1,5,Split AC,526.8
Mraq,1,3,Split AC,675.18
Mraq,1.5,5,windows,1095.38
Mraq,1.5,3,windows,1213.1
